"meta_key","COUNT(*)"
"wp_3_dt_cached_filters_trainings",82
"wp_3_dt_push_tokens",2
"wp_3_dt_release_notification",77
"wp_3_last_rest_call",250
"wp_3_location_grid",212
"wp_3_location_grid_meta",212
"wp_3_prayer_calendar_app_daily",2
"wp_3_saved_filters",8
"wp_3_user_dates_unavailable",8
"wp_3_user_gender",23
"wp_3_user_languages",47
"wp_3_user_level",141
"wp_3_user_people_groups",10
"wp_3_user_status",140
"wp_3_user-settings",2
"wp_3_user-settings-time",2
"wp_3_workload_status",134
"wp_30_corresponds_to_contact",1
"wp_30_last_rest_call",1
"wp_31_corresponds_to_contact",1
"wp_31_last_rest_call",1
"wp_32_corresponds_to_contact",1
"wp_32_last_rest_call",1
"wp_33_corresponds_to_contact",1
"wp_33_last_rest_call",1
"wp_34_last_rest_call",1
"wp_35_corresponds_to_contact",1
"wp_35_last_rest_call",1
"wp_36_corresponds_to_contact",2
"wp_36_dt_cached_filters_",1
"wp_36_dt_cached_filters_contacts",2
"wp_36_dt_cached_filters_groups",2
"wp_36_dt_release_notification",1
"wp_36_last_rest_call",2
"wp_37_last_rest_call",1
"wp_38_corresponds_to_contact",1
"wp_38_last_rest_call",1
"wp_39_last_rest_call",1
"wp_4_corresponds_to_contact",6
"wp_40_corresponds_to_contact",1
"wp_40_last_rest_call",1
"wp_41_corresponds_to_contact",1
"wp_41_last_rest_call",1
"wp_42_corresponds_to_contact",1
"wp_42_last_rest_call",1
"wp_43_corresponds_to_contact",1
"wp_43_last_rest_call",1
"wp_44_corresponds_to_contact",1
"wp_45_corresponds_to_contact",1
"wp_45_last_rest_call",1
"wp_46_last_rest_call",1
"wp_47_last_rest_call",1
"wp_48_last_rest_call",1
"wp_49_corresponds_to_contact",1
"wp_49_last_rest_call",1
"wp_50_corresponds_to_contact",1
"wp_50_last_rest_call",1
"wp_51_corresponds_to_contact",1
"wp_51_last_rest_call",1
"wp_52_last_rest_call",1
"wp_53_corresponds_to_contact",1
"wp_53_last_rest_call",1
"wp_54_corresponds_to_contact",1
"wp_54_last_rest_call",1
"wp_55_last_rest_call",1
"wp_56_corresponds_to_contact",1
"wp_56_last_rest_call",1
"wp_57_last_rest_call",1
"wp_58_corresponds_to_contact",1
"wp_58_last_rest_call",2
"wp_59_last_rest_call",1
"wp_6_corresponds_to_contact",3
"wp_60_corresponds_to_contact",1
"wp_60_last_rest_call",1
"wp_61_corresponds_to_contact",1
"wp_61_last_rest_call",1
"wp_62_corresponds_to_contact",1
"wp_63_last_rest_call",1
"wp_64_last_rest_call",1
"wp_65_corresponds_to_contact",1
"wp_65_last_rest_call",1
"wp_66_corresponds_to_contact",10
"wp_66_dt_cached_filters_trainings",1
"wp_66_last_rest_call",6
"wp_67_corresponds_to_contact",4
"wp_67_dt_cached_filters_",1
"wp_67_dt_cached_filters_contacts",2
"wp_67_dt_release_notification",1
"wp_67_last_rest_call",2
"wp_69_corresponds_to_contact",1
"wp_69_dt_cached_filters_contacts",1
"wp_69_last_rest_call",1
"wp_70_capabilities",16
"wp_70_corresponds_to_contact",15
"wp_70_dt_cached_filters_",1
"wp_70_dt_cached_filters_campaigns",1
"wp_70_dt_cached_filters_contacts",6
"wp_70_dt_cached_filters_groups",3
"wp_70_dt_release_notification",2
"wp_70_last_rest_call",8
"wp_70_location_grid",10
"wp_70_location_grid_meta",10
"wp_70_user_level",16
"wp_70_user_status",13
"wp_70_workload_status",13
"wp_71_capabilities",1
"wp_71_corresponds_to_contact",1
"wp_71_dt_cached_filters_contacts",1
"wp_71_dt_release_notification",1
"wp_71_last_rest_call",1
"wp_71_user_level",1
"wp_9_corresponds_to_contact",1
"wp_capabilities",21315
"wp_dashboard_quick_press_last_post_id",13
"wp_media_library_mode",3
"wp_user_level",21314
"wp_user-settings",11
"wp_user-settings-time",11
"wp_yoast_notifications",1
"wpe_gutenberg_notice",1
"wpe_notices_read",1
"wpseo_content_analysis_disable",27
"wpseo_keyword_analysis_disable",27
"wpseo_metadesc",27
"wpseo_noindex_author",27
"wpseo_title",27
"youtube",27
"zendesk_user_options",1
"zume_active_group",436
"zume_address",17440
"zume_address_from_ip",496
"zume_affiliation",1
"zume_affiliation_key",17120
"zume_check_sum",7737
"zume_coach",653
"zume_coalition_affiliation",1
"zume_decline_coaching",1
"zume_foreign_key",21344
"zume_full_name",980
"zume_global_network",433
"zume_global_network_contact_id",1
"zume_group_5a8f49ba0c900",1
"zume_group_5a8f49ba642e7",1
"zume_group_5a8f49bac38e8",1
"zume_group_5a8f49bb0ef39",1
"zume_group_5a8f49bbd9ffb",1
"zume_group_5a8f49bc2e277",1
"zume_group_5a8f49bc768a3",1
"zume_group_5a8f49bd1d9e0",1
"zume_group_5a8f49bd7aa91",1
"zume_group_5a8f49bdb63f9",1
"zume_group_5a8f49be0be48",1
"zume_group_5a8f49bec8f36",1
"zume_group_5a8f49bf1ad7a",1
"zume_group_5a8f49bf50d23",1
"zume_group_5a8f49bf918fb",1
"zume_group_5a8f49bfc8627",1
"zume_group_5a8f49c018830",1
"zume_group_5a8f49c04df12",1
"zume_group_5a8f49c11ba58",1
"zume_group_5a8f49c14b378",1
"zume_group_5a8f49c188bd4",1
"zume_group_5a8f49c1c7bd6",1
"zume_group_5a8f49c21ecfb",1
"zume_group_5a8f49c25a988",1
"zume_group_5a8f49c293e98",1
"zume_group_5a8f49c2ce9ea",1
"zume_group_5a8f49c30bf7b",1
"zume_group_5a8f49c3a31fd",1
"zume_group_5a8f49c3e2add",1
"zume_group_5a8f49c42b78e",1
"zume_group_5a8f49c4f059b",1
"zume_group_5a8f49c52dae9",1
"zume_group_5a8f49c599294",1
"zume_group_5a8f49c6521ff",1
"zume_group_5a8f49c697aa9",1
"zume_group_5a8f49c6d12e0",1
"zume_group_5a8f49c70aad2",1
"zume_group_5a8f49c748582",1
"zume_group_5a8f49c77a684",1
"zume_group_5a8f49c85298d",1
"zume_group_5a8f49c892928",1
"zume_group_5a8f49c93deab",1
"zume_group_5a8f49c96e676",1
"zume_group_5a8f49c9a5821",1
"zume_group_5a8f49ca07846",1
"zume_group_5a8f49ca3b379",1
"zume_group_5a8f49ca6be85",1
"zume_group_5a8f49caa2242",1
"zume_group_5a8f49cad2b3a",1
"zume_group_5a8f49cb1b72e",1
"zume_group_5a8f49cb773a2",1
"zume_group_5a8f49cbaa709",1
"zume_group_5a8f49cbe8ab1",1
"zume_group_5a8f49cc38af5",1
"zume_group_5a8f49cc758e0",1
"zume_group_5a8f49ccabc99",1
"zume_group_5a8f49cce748e",1
"zume_group_5a8f49cd39a2e",1
"zume_group_5a8f49cdad4e5",1
"zume_group_5a8f49cde2a48",1
"zume_group_5a8f49ce1b25a",1
"zume_group_5a8f49ce5b451",1
"zume_group_5a8f49cf46914",1
"zume_group_5a8f49cf9a9b2",1
"zume_group_5a8f49cfd43e0",1
