"grid_id","grouping"
100024586,"flat_states"
100024588,"flat_states"
100024589,"flat_states"
100024590,"flat_states"
100024591,"flat_states"
100024592,"flat_states"
100024593,"flat_states"
100024594,"flat_states"
100024595,"flat_states"
100024596,"flat_states"
100024597,"flat_states"
100024598,"flat_states"
100024599,"flat_states"
100024600,"flat_states"
100024601,"flat_states"
100024602,"flat_states"
100024603,"flat_states"
100024604,"flat_states"
100024605,"flat_states"
100024606,"flat_states"
100024607,"flat_states"
100024608,"flat_states"
100024609,"flat_states"
100024610,"flat_states"
100024611,"flat_states"
100024612,"flat_states"
100024613,"flat_states"
100024614,"flat_states"
100024615,"flat_states"
100024616,"flat_states"
100024617,"flat_states"
100024618,"flat_states"
100024619,"flat_states"
100024621,"flat_states"
100024622,"flat_states"
100024623,"flat_states"
100024785,"flat_states"
100024786,"flat_states"
100024787,"flat_states"
100024788,"flat_states"
100024789,"flat_states"
100024790,"flat_states"
100024910,"flat_states"
100024911,"flat_states"
100024912,"flat_states"
100024913,"flat_states"
100024914,"flat_states"
100024915,"flat_states"
100024917,"flat_states"
100024918,"flat_states"
100024919,"flat_states"
100024920,"flat_states"
100024921,"flat_states"
100024922,"flat_states"
100024923,"flat_states"
100024924,"flat_states"
100024925,"flat_states"
100024926,"flat_states"
100024927,"flat_states"
100024929,"flat_states"
100024930,"flat_states"
100024931,"flat_states"
100024932,"flat_states"
100024933,"flat_states"
100024934,"flat_states"
100024935,"flat_states"
100024936,"flat_states"
100024937,"flat_states"
100025353,"flat_states"
100025354,"flat_states"
100025355,"flat_states"
100025356,"flat_states"
100025357,"flat_states"
100025358,"flat_states"
100025359,"flat_states"
100025360,"flat_states"
100025361,"flat_states"
100025362,"flat_states"
100025363,"flat_states"
100025364,"flat_states"
100025365,"flat_states"
100025366,"flat_states"
100025367,"flat_states"
100025368,"flat_states"
100025369,"flat_states"
100025370,"flat_states"
100025371,"flat_states"
100025372,"flat_states"
100025373,"flat_states"
100025374,"flat_states"
100025375,"flat_states"
100025376,"flat_states"
100025377,"flat_states"
100025378,"flat_states"
100025379,"flat_states"
100041080,"flat_states"
100041081,"flat_states"
100041082,"flat_states"
100041083,"flat_states"
100041084,"flat_states"
100041085,"flat_states"
100041086,"flat_states"
100041087,"flat_states"
100041088,"flat_states"
100041089,"flat_states"
100041090,"flat_states"
100041092,"flat_states"
100041093,"flat_states"
100041094,"flat_states"
100041095,"flat_states"
100041129,"flat_states"
100041130,"flat_states"
100041131,"flat_states"
100041132,"flat_states"
100041133,"flat_states"
100041134,"flat_states"
100041135,"flat_states"
100041136,"flat_states"
100041137,"flat_states"
100041138,"flat_states"
100041139,"flat_states"
100041140,"flat_states"
100041141,"flat_states"
100041142,"flat_states"
100041143,"flat_states"
100041144,"flat_states"
100041145,"flat_states"
100041146,"flat_states"
100041147,"flat_states"
100041148,"flat_states"
100041356,"flat_states"
100041357,"flat_states"
100041358,"flat_states"
100041359,"flat_states"
100041360,"flat_states"
100041361,"flat_states"
100041362,"flat_states"
100041363,"flat_states"
100041364,"flat_states"
100041365,"flat_states"
100041366,"flat_states"
100041367,"flat_states"
100041368,"flat_states"
100041369,"flat_states"
100041370,"flat_states"
100041371,"flat_states"
100041403,"flat_states"
100041404,"flat_states"
100041405,"flat_states"
100041406,"flat_states"
100041407,"flat_states"
100041408,"flat_states"
100041409,"flat_states"
100041410,"flat_states"
100041411,"flat_states"
100041412,"flat_states"
100041413,"flat_states"
100041414,"flat_states"
100041415,"flat_states"
100041416,"flat_states"
100041417,"flat_states"
100041418,"flat_states"
100041419,"flat_states"
100041472,"flat_states"
100041473,"flat_states"
100041474,"flat_states"
100041475,"flat_states"
100041476,"flat_states"
100041477,"flat_states"
100041478,"flat_states"
100041479,"flat_states"
100041480,"flat_states"
100041481,"flat_states"
100041482,"flat_states"
100041483,"flat_states"
100041484,"flat_states"
100047362,"flat_states"
100047363,"flat_states"
100047364,"flat_states"
100047365,"flat_states"
100047366,"flat_states"
100047367,"flat_states"
100047368,"flat_states"
100047369,"flat_states"
100047370,"flat_states"
100047371,"flat_states"
100047372,"flat_states"
100047373,"flat_states"
100047374,"flat_states"
100047375,"flat_states"
100047376,"flat_states"
100047377,"flat_states"
100047378,"flat_states"
100047379,"flat_states"
100047380,"flat_states"
100047381,"flat_states"
100047382,"flat_states"
100047383,"flat_states"
100047384,"flat_states"
100047385,"flat_states"
100047386,"flat_states"
100047387,"flat_states"
100050339,"flat_states"
100050340,"flat_states"
100050341,"flat_states"
100050342,"flat_states"
100050343,"flat_states"
100050344,"flat_states"
100050345,"flat_states"
100050346,"flat_states"
100050347,"flat_states"
100050348,"flat_states"
100050349,"flat_states"
100050350,"flat_states"
100050351,"flat_states"
100050352,"flat_states"
100050353,"flat_states"
100050354,"flat_states"
100050712,"flat_states"
100050713,"flat_states"
100050714,"flat_states"
100050715,"flat_states"
100050716,"flat_states"
100050717,"flat_states"
100050718,"flat_states"
100050719,"flat_states"
100050720,"flat_states"
100050721,"flat_states"
100050722,"flat_states"
100050723,"flat_states"
100050724,"flat_states"
100050725,"flat_states"
100050726,"flat_states"
100050727,"flat_states"
100050728,"flat_states"
100050729,"flat_states"
100050730,"flat_states"
100050731,"flat_states"
100050732,"flat_states"
100050733,"flat_states"
100050734,"flat_states"
100050735,"flat_states"
100050736,"flat_states"
100050737,"flat_states"
100050738,"flat_states"
100050739,"flat_states"
100050740,"flat_states"
100050741,"flat_states"
100050742,"flat_states"
100053496,"flat_states"
100053497,"flat_states"
100053498,"flat_states"
100053499,"flat_states"
100053500,"flat_states"
100053501,"flat_states"
100053502,"flat_states"
100053503,"flat_states"
100053504,"flat_states"
100053505,"flat_states"
100053506,"flat_states"
100053507,"flat_states"
100053508,"flat_states"
100053509,"flat_states"
100053848,"flat_states"
100053849,"flat_states"
100053850,"flat_states"
100053851,"flat_states"
100053852,"flat_states"
100053853,"flat_states"
100053854,"flat_states"
100053855,"flat_states"
100053856,"flat_states"
100053857,"flat_states"
100054277,"flat_states"
100054278,"flat_states"
100054279,"flat_states"
100054280,"flat_states"
100054281,"flat_states"
100054282,"flat_states"
100054283,"flat_states"
100054284,"flat_states"
100054285,"flat_states"
100054286,"flat_states"
100054287,"flat_states"
100054288,"flat_states"
100054289,"flat_states"
100054290,"flat_states"
100054291,"flat_states"
100054292,"flat_states"
100054293,"flat_states"
100054294,"flat_states"
100054295,"flat_states"
100054296,"flat_states"
100054297,"flat_states"
100054298,"flat_states"
100054299,"flat_states"
100054300,"flat_states"
100054301,"flat_states"
100054302,"flat_states"
100054544,"flat_states"
100054545,"flat_states"
100054546,"flat_states"
100054547,"flat_states"
100054548,"flat_states"
100054549,"flat_states"
100054550,"flat_states"
100054551,"flat_states"
100054552,"flat_states"
100054553,"flat_states"
100054554,"flat_states"
100054555,"flat_states"
100054606,"flat_states"
100054607,"flat_states"
100054608,"flat_states"
100054609,"flat_states"
100054610,"flat_states"
100054611,"flat_states"
100054612,"flat_states"
100054613,"flat_states"
100054614,"flat_states"
100054615,"flat_states"
100054616,"flat_states"
100054617,"flat_states"
100054618,"flat_states"
100054619,"flat_states"
100054620,"flat_states"
100054621,"flat_states"
100054622,"flat_states"
100054623,"flat_states"
100054624,"flat_states"
100054625,"flat_states"
100054626,"flat_states"
100054627,"flat_states"
100054628,"flat_states"
100054629,"flat_states"
100054630,"flat_states"
100054631,"flat_states"
100054632,"flat_states"
100054633,"flat_states"
100054634,"flat_states"
100054635,"flat_states"
100054636,"flat_states"
100054637,"flat_states"
100055704,"flat_states"
100055705,"flat_states"
100055706,"flat_states"
100055708,"flat_states"
100055709,"flat_states"
100055710,"flat_states"
100055711,"flat_states"
100055712,"flat_states"
100055713,"flat_states"
100055714,"flat_states"
100055715,"flat_states"
100055716,"flat_states"
100055717,"flat_states"
100055718,"flat_states"
100055719,"flat_states"
100055720,"flat_states"
100055721,"flat_states"
100055722,"flat_states"
100055723,"flat_states"
100055724,"flat_states"
100055725,"flat_states"
100055726,"flat_states"
100055727,"flat_states"
100055728,"flat_states"
100055729,"flat_states"
100055731,"flat_states"
100055732,"flat_states"
100055733,"flat_states"
100055734,"flat_states"
100055735,"flat_states"
100055736,"flat_states"
100055737,"flat_states"
100055820,"flat_states"
100055821,"flat_states"
100055822,"flat_states"
